id,address,suburb,region,distance_from_cbd_km,property_type,bedrooms,bathrooms,car_spots,land_size_sqm,building_area_sqm,year_built,sale_date,sale_method,price
1,165 Empire Ave,Werribee,Outer West,32,House,3,2,0.0,474,134.0,1929.0,2023-01-02,SP,465000.0
2,6 Somerset Cl,Dandenong,South East,30,House,2,2,1.0,829,159.0,1949.0,2023-01-02,S,591000.0
3,97 Church St,Brighton,Bayside,11,House,3,2,0.0,672,136.0,1935.0,2023-01-02,S,1885000.0
4,56 Nicholson St,Craigieburn,Outer North,26,Unit/Apartment,3,3,1.0,0,141.0,1947.0,2023-01-03,VB,298000.0
5,151 Cook St,Sandringham,Bayside,15,Townhouse,2,1,1.0,190,141.0,1983.0,2023-01-03,PI,877000.0
6,125 Elm Gr,Reservoir,Northern,12,Unit/Apartment,2,2,3.0,0,138.0,1905.0,2023-01-03,S,407000.0
7,55 Maple Ct,Richmond,Inner,3,House,1,1,1.0,448,99.0,1925.0,2023-01-04,VB,1013000.0
8,54 Park Cres,Brighton,Bayside,11,House,2,1,1.0,792,130.0,1927.0,2023-01-04,SP,1678000.0
9,159 Park Cres,Reservoir,Northern,12,House,3,2,2.0,402,173.0,2010.0,2023-01-04,S,636000.0
10,5 Wellington Pde,Toorak,Inner East,5,House,2,1,4.0,357,138.0,1992.0,2023-01-04,PI,1711000.0
11,19 Empire Ave,Frankston,South East,41,House,2,1,3.0,832,129.0,1991.0,2023-01-05,S,514000.0
12,102 Cook St,Williamstown,Inner West,10,House,3,2,2.0,740,140.0,2010.0,2023-01-05,S,1438000.0
13,26 High St,Berwick,Outer South East,42,Townhouse,2,2,2.0,293,125.0,1989.0,2023-01-05,SP,403000.0
14,100 Victoria Ave,Toorak,Inner East,5,Townhouse,3,3,1.0,290,157.0,1947.0,2023-01-05,S,1583000.0
15,127 Ryan Ave,Preston,Northern,9,Townhouse,3,2,0.0,267,131.0,1987.0,2023-01-05,SP,820000.0
16,72 Riverside Dr,St Kilda,Bayside,6,Unit/Apartment,2,1,2.0,0,119.0,1945.0,2023-01-05,VB,702000.0
17,18 Wellington Pde,Sunshine,Western,13,House,1,1,0.0,738,90.0,1982.0,2023-01-05,SP,745000.0
18,133 Cook St,Melbourne CBD,Inner,1,House,2,1,3.0,582,136.0,1920.0,2023-01-06,PI,1440000.0
19,33 High St,Sandringham,Bayside,15,House,2,1,3.0,449,129.0,1955.0,2023-01-07,SP,1230000.0
20,59 Park Cres,St Kilda,Bayside,6,Townhouse,2,1,1.0,231,130.0,1935.0,2023-01-07,S,828000.0
21,119 Riverside Dr,Frankston,South East,41,Unit/Apartment,1,1,0.0,0,103.0,2018.0,2023-01-07,PI,304000.0
22,112 Ryan Ave,Southbank,Inner,2,Townhouse,5,4,1.0,195,233.0,1979.0,2023-01-07,PI,1063000.0
23,101 Church St,Melbourne CBD,Inner,1,Unit/Apartment,1,1,1.0,0,104.0,1919.0,2023-01-07,S,876000.0
24,112 Bridge St,Williamstown,Inner West,10,Unit/Apartment,2,1,,0,143.0,1904.0,2023-01-07,VB,593000.0
25,74 Empire Ave,Craigieburn,Outer North,26,Townhouse,3,3,0.0,169,141.0,2013.0,2023-01-07,PI,424000.0
26,11 Maple Ct,Hawthorn,Inner East,6,House,2,2,0.0,318,120.0,1945.0,2023-01-07,S,983000.0
27,161 Nicholson St,St Kilda,Bayside,6,House,4,3,0.0,339,192.0,1902.0,2023-01-07,S,1167000.0
28,161 Church St,Richmond,Inner,3,Unit/Apartment,1,1,0.0,0,93.0,1983.0,2023-01-08,S,678000.0
29,56 Ryan Ave,Malvern,Inner East,8,House,3,2,2.0,429,140.0,1980.0,2023-01-09,VB,1872000.0
30,172 Somerset Cl,Southbank,Inner,2,House,4,3,0.0,479,174.0,2016.0,2023-01-09,S,1398000.0
31,11 Union St,Brunswick,Northern,5,Unit/Apartment,1,1,0.0,0,109.0,1949.0,2023-01-09,PI,570000.0
32,100 Elm Gr,Preston,Northern,9,House,2,2,3.0,641,128.0,1988.0,2023-01-10,SP,1154000.0
33,15 Bridge St,Carlton,Inner,2,Townhouse,2,2,0.0,176,121.0,1994.0,2023-01-10,S,844000.0
34,81 Somerset Cl,Fitzroy,Inner,3,Townhouse,2,1,0.0,183,133.0,1922.0,2023-01-10,S,726000.0
35,78 Ryan Ave,Essendon,North West,9,House,2,1,2.0,403,128.0,1950.0,2023-01-10,PI,932000.0
36,9 Beach Rd,Reservoir,Northern,12,House,1,1,0.0,588,93.0,2007.0,2023-01-11,S,671000.0
37,162 Bridge St,Footscray,Inner West,6,Unit/Apartment,2,2,1.0,0,126.0,2008.0,2023-01-12,S,474000.0
38,79 Ryan Ave,Point Cook,Outer West,24,Unit/Apartment,2,1,0.0,0,126.0,1957.0,2023-01-12,PI,394000.0
39,188 Elm Gr,Dandenong,South East,30,House,4,3,1.0,558,225.0,1945.0,2023-01-12,S,637000.0
40,70 Cook St,Richmond,Inner,3,House,2,2,0.0,764,128.0,1990.0,2023-01-13,S,1063000.0
41,8 Cook St,Moonee Ponds,North West,7,House,3,2,1.0,798,155.0,1996.0,2023-01-13,S,1435000.0
42,97 Union St,Berwick,Outer South East,42,House,3,2,3.0,711,161.0,1936.0,2023-01-13,SA,564000.0
43,117 Cook St,Berwick,Outer South East,42,House,2,1,1.0,793,120.0,2009.0,2023-01-14,VB,562000.0
44,124 Albert Rd,Sunshine,Western,13,Unit/Apartment,2,1,1.0,0,141.0,1922.0,2023-01-14,VB,447000.0
45,14 High St,Moonee Ponds,North West,7,House,2,2,1.0,806,138.0,1982.0,2023-01-14,S,1266000.0
46,42 Maple Ct,Point Cook,Outer West,24,Unit/Apartment,1,1,2.0,0,110.0,1990.0,2023-01-15,S,361000.0
